[2024-11-26T01:36:56.623+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-11-26T01:36:56.642+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL_financial_reports.fetch_financial_reports_task manual__2024-11-26T01:36:54.192209+00:00 [queued]>
[2024-11-26T01:36:56.652+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL_financial_reports.fetch_financial_reports_task manual__2024-11-26T01:36:54.192209+00:00 [queued]>
[2024-11-26T01:36:56.653+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-11-26T01:36:56.672+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): fetch_financial_reports_task> on 2024-11-26 01:36:54.192209+00:00
[2024-11-26T01:36:56.683+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=7020) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-11-26T01:36:56.685+0000] {standard_task_runner.py:72} INFO - Started process 7022 to run task
[2024-11-26T01:36:56.682+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'ETL_financial_reports', 'fetch_financial_reports_task', 'manual__2024-11-26T01:36:54.192209+00:00', '--job-id', '313', '--raw', '--subdir', 'DAGS_FOLDER/project_dag.py', '--cfg-path', '/tmp/tmp33chlrrz']
[2024-11-26T01:36:56.686+0000] {standard_task_runner.py:105} INFO - Job 313: Subtask fetch_financial_reports_task
[2024-11-26T01:36:56.744+0000] {task_command.py:467} INFO - Running <TaskInstance: ETL_financial_reports.fetch_financial_reports_task manual__2024-11-26T01:36:54.192209+00:00 [running]> on host 6a246d8d590f
[2024-11-26T01:36:57.045+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ETL_financial_reports' AIRFLOW_CTX_TASK_ID='fetch_financial_reports_task' AIRFLOW_CTX_EXECUTION_DATE='2024-11-26T01:36:54.192209+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-11-26T01:36:54.192209+00:00'
[2024-11-26T01:36:57.047+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-11-26T01:36:58.750+0000] {logging_mixin.py:190} INFO - File CDBG_DR_Grant_Expenditure_Report_11_2024.pdf already exists in S3. Skipping upload.
[2024-11-26T01:36:58.832+0000] {logging_mixin.py:190} INFO - File CDBG_DR_Grant_Expenditure_Report_10_2024.pdf already exists in S3. Skipping upload.
[2024-11-26T01:36:58.911+0000] {logging_mixin.py:190} INFO - File CDBG_DR_Grant_Expenditure_Report_9_2024.pdf already exists in S3. Skipping upload.
[2024-11-26T01:36:58.995+0000] {logging_mixin.py:190} INFO - File CDBG_DR_Grant_Expenditure_Report_8_2024.pdf already exists in S3. Skipping upload.
[2024-11-26T01:36:59.083+0000] {logging_mixin.py:190} INFO - File CDBG_DR_Grant_Expenditure_Report_7_2024.pdf already exists in S3. Skipping upload.
[2024-11-26T01:36:59.162+0000] {logging_mixin.py:190} INFO - File CDBG_DR_Grant_Expenditure_Report_6_2024.pdf already exists in S3. Skipping upload.
[2024-11-26T01:36:59.243+0000] {logging_mixin.py:190} INFO - File CDBG_DR_Grant_Expenditure_Report_5_2024.pdf already exists in S3. Skipping upload.
[2024-11-26T01:36:59.322+0000] {logging_mixin.py:190} INFO - File CDBG-DR_Grant_Expenditure_Report-4-1-2024.pdf already exists in S3. Skipping upload.
[2024-11-26T01:36:59.404+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Grant-Expenditure-Report-2024-03.pdf already exists in S3. Skipping upload.
[2024-11-26T01:36:59.487+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Grant-Expenditure-Report-2024-02.pdf already exists in S3. Skipping upload.
[2024-11-26T01:36:59.563+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Grant-Expenditure-Report-2024-01.pdf already exists in S3. Skipping upload.
