[2024-11-19T03:00:48.164+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-11-19T03:00:48.197+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL_financial_reports.fetch_financial_reports_task scheduled__2024-11-18T00:00:00+00:00 [queued]>
[2024-11-19T03:00:48.218+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL_financial_reports.fetch_financial_reports_task scheduled__2024-11-18T00:00:00+00:00 [queued]>
[2024-11-19T03:00:48.219+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-11-19T03:00:48.250+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): fetch_financial_reports_task> on 2024-11-18 00:00:00+00:00
[2024-11-19T03:00:48.288+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=29930) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-11-19T03:00:48.284+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'ETL_financial_reports', 'fetch_financial_reports_task', 'scheduled__2024-11-18T00:00:00+00:00', '--job-id', '108', '--raw', '--subdir', 'DAGS_FOLDER/project_dag.py', '--cfg-path', '/tmp/tmpm2u5_u2c']
[2024-11-19T03:00:48.296+0000] {standard_task_runner.py:72} INFO - Started process 29938 to run task
[2024-11-19T03:00:48.297+0000] {standard_task_runner.py:105} INFO - Job 108: Subtask fetch_financial_reports_task
[2024-11-19T03:00:48.400+0000] {task_command.py:467} INFO - Running <TaskInstance: ETL_financial_reports.fetch_financial_reports_task scheduled__2024-11-18T00:00:00+00:00 [running]> on host 7da4b16cbed4
[2024-11-19T03:00:48.604+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ETL_financial_reports' AIRFLOW_CTX_TASK_ID='fetch_financial_reports_task' AIRFLOW_CTX_EXECUTION_DATE='2024-11-18T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-18T00:00:00+00:00'
[2024-11-19T03:00:48.606+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-11-19T03:00:50.826+0000] {logging_mixin.py:190} INFO - File CDBG_DR_Grant_Expenditure_Report_11_2024.pdf already exists in S3. Skipping upload.
[2024-11-19T03:00:50.903+0000] {logging_mixin.py:190} INFO - File CDBG_DR_Grant_Expenditure_Report_10_2024.pdf already exists in S3. Skipping upload.
[2024-11-19T03:00:50.994+0000] {logging_mixin.py:190} INFO - File CDBG_DR_Grant_Expenditure_Report_9_2024.pdf already exists in S3. Skipping upload.
[2024-11-19T03:00:51.083+0000] {logging_mixin.py:190} INFO - File CDBG_DR_Grant_Expenditure_Report_8_2024.pdf already exists in S3. Skipping upload.
[2024-11-19T03:00:51.160+0000] {logging_mixin.py:190} INFO - File CDBG_DR_Grant_Expenditure_Report_7_2024.pdf already exists in S3. Skipping upload.
[2024-11-19T03:00:51.244+0000] {logging_mixin.py:190} INFO - File CDBG_DR_Grant_Expenditure_Report_6_2024.pdf already exists in S3. Skipping upload.
[2024-11-19T03:00:51.328+0000] {logging_mixin.py:190} INFO - File CDBG_DR_Grant_Expenditure_Report_5_2024.pdf already exists in S3. Skipping upload.
[2024-11-19T03:00:51.422+0000] {logging_mixin.py:190} INFO - File CDBG-DR_Grant_Expenditure_Report-4-1-2024.pdf already exists in S3. Skipping upload.
[2024-11-19T03:00:51.510+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Grant-Expenditure-Report-2024-03.pdf already exists in S3. Skipping upload.
