[2024-11-24T05:55:08.054+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-11-24T05:55:08.071+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL_usa_spending.extract_usa_spending_data_task manual__2024-11-24T05:55:04.827611+00:00 [queued]>
[2024-11-24T05:55:08.080+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL_usa_spending.extract_usa_spending_data_task manual__2024-11-24T05:55:04.827611+00:00 [queued]>
[2024-11-24T05:55:08.081+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-11-24T05:55:08.097+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): extract_usa_spending_data_task> on 2024-11-24 05:55:04.827611+00:00
[2024-11-24T05:55:08.108+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=99096) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-11-24T05:55:08.109+0000] {standard_task_runner.py:72} INFO - Started process 99098 to run task
[2024-11-24T05:55:08.108+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'ETL_usa_spending', 'extract_usa_spending_data_task', 'manual__2024-11-24T05:55:04.827611+00:00', '--job-id', '220', '--raw', '--subdir', 'DAGS_FOLDER/project_dag.py', '--cfg-path', '/tmp/tmpomrk2hpv']
[2024-11-24T05:55:08.111+0000] {standard_task_runner.py:105} INFO - Job 220: Subtask extract_usa_spending_data_task
[2024-11-24T05:55:08.162+0000] {task_command.py:467} INFO - Running <TaskInstance: ETL_usa_spending.extract_usa_spending_data_task manual__2024-11-24T05:55:04.827611+00:00 [running]> on host 7da4b16cbed4
[2024-11-24T05:55:08.264+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ETL_usa_spending' AIRFLOW_CTX_TASK_ID='extract_usa_spending_data_task' AIRFLOW_CTX_EXECUTION_DATE='2024-11-24T05:55:04.827611+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-11-24T05:55:04.827611+00:00'
[2024-11-24T05:55:08.266+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-11-24T05:55:08.284+0000] {logging_mixin.py:190} INFO - Extracting Spending Data
[2024-11-24T05:55:13.908+0000] {logging_mixin.py:190} INFO - File saved to S3: s3://project-raw-data-files/usa_spending_data/spending_by_award_11_24_2024.csv
[2024-11-24T05:55:13.912+0000] {logging_mixin.py:190} INFO - Extracting Awards Data
[2024-11-24T05:55:13.919+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-18-DP-72-0002_8620 (Request 1/507)
[2024-11-24T05:55:16.295+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-18-DP-72-0001_8620 (Request 2/507)
[2024-11-24T05:55:18.616+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-18-DE-72-0001_8620 (Request 3/507)
[2024-11-24T05:55:21.014+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-17-DM-72-0001_8620 (Request 4/507)
[2024-11-24T05:55:23.475+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-19-DP-72-0001_8620 (Request 5/507)
[2024-11-24T05:55:25.798+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-21-DZ-72-0001_8620 (Request 6/507)
[2024-11-24T05:55:28.193+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-10-DC-72-0001_8620 (Request 7/507)
[2024-11-24T05:55:30.567+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-09-DC-72-0001_8620 (Request 8/507)
[2024-11-24T05:55:32.929+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-DC-72-0001_8620 (Request 9/507)
[2024-11-24T05:55:35.289+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-11-DC-72-0001_8620 (Request 10/507)
[2024-11-24T05:55:37.615+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-19-DF-72-0001_8620 (Request 11/507)
[2024-11-24T05:55:39.978+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-20-DW-72-0001_8620 (Request 12/507)
[2024-11-24T05:55:42.356+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-DI-72-0001_8620 (Request 13/507)
[2024-11-24T05:55:44.691+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-12-DC-72-0001_8620 (Request 14/507)
[2024-11-24T05:55:47.037+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-DC-72-0001_8620 (Request 15/507)
[2024-11-24T05:55:49.376+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-14-DC-72-0001_8620 (Request 16/507)
[2024-11-24T05:55:51.769+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-18-DC-72-0001_8620 (Request 17/507)
[2024-11-24T05:55:54.176+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-15-DC-72-0001_8620 (Request 18/507)
[2024-11-24T05:55:58.871+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-20-DC-72-0001_8620 (Request 19/507)
[2024-11-24T05:56:04.779+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-21-DC-72-0001_8620 (Request 20/507)
[2024-11-24T05:56:07.126+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-19-DC-72-0001_8620 (Request 21/507)
[2024-11-24T05:56:09.476+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-16-DC-72-0001_8620 (Request 22/507)
[2024-11-24T05:56:11.809+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-17-DC-72-0001_8620 (Request 23/507)
[2024-11-24T05:56:14.214+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-22-DC-72-0001_8620 (Request 24/507)
[2024-11-24T05:56:16.557+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-23-DC-72-0001_8620 (Request 25/507)
[2024-11-24T05:56:18.907+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-24-DC-72-0001_8620 (Request 26/507)
[2024-11-24T05:56:21.268+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-DN-72-0001_8620 (Request 27/507)
[2024-11-24T05:56:23.597+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-10-MC-72-0007_8620 (Request 28/507)
[2024-11-24T05:56:25.947+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-09-MC-72-0007_8620 (Request 29/507)
[2024-11-24T05:56:28.308+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-MC-72-0007_8620 (Request 30/507)
[2024-11-24T05:56:30.778+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-11-MC-72-0007_8620 (Request 31/507)
[2024-11-24T05:56:33.133+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-05-DJ-72-0001_8620 (Request 32/507)
[2024-11-24T05:56:35.461+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-21-MC-72-0007_8620 (Request 33/507)
[2024-11-24T05:56:37.798+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-20-MC-72-0007_8620 (Request 34/507)
[2024-11-24T05:56:40.150+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-19-MC-72-0007_8620 (Request 35/507)
[2024-11-24T05:56:42.485+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-24-MC-72-0007_8620 (Request 36/507)
[2024-11-24T05:56:44.821+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-18-MC-72-0007_8620 (Request 37/507)
