[2024-11-24T22:24:47.482+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-11-24T22:24:47.504+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL_usa_spending.extract_usa_spending_data_task manual__2024-11-24T22:24:42.151283+00:00 [queued]>
[2024-11-24T22:24:47.515+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL_usa_spending.extract_usa_spending_data_task manual__2024-11-24T22:24:42.151283+00:00 [queued]>
[2024-11-24T22:24:47.516+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-11-24T22:24:47.534+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): extract_usa_spending_data_task> on 2024-11-24 22:24:42.151283+00:00
[2024-11-24T22:24:47.571+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=2072) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-11-24T22:24:47.569+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'ETL_usa_spending', 'extract_usa_spending_data_task', 'manual__2024-11-24T22:24:42.151283+00:00', '--job-id', '222', '--raw', '--subdir', 'DAGS_FOLDER/project_dag.py', '--cfg-path', '/tmp/tmpr1au363y']
[2024-11-24T22:24:47.572+0000] {standard_task_runner.py:72} INFO - Started process 2074 to run task
[2024-11-24T22:24:47.573+0000] {standard_task_runner.py:105} INFO - Job 222: Subtask extract_usa_spending_data_task
[2024-11-24T22:24:47.687+0000] {task_command.py:467} INFO - Running <TaskInstance: ETL_usa_spending.extract_usa_spending_data_task manual__2024-11-24T22:24:42.151283+00:00 [running]> on host 7da4b16cbed4
[2024-11-24T22:24:47.880+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ETL_usa_spending' AIRFLOW_CTX_TASK_ID='extract_usa_spending_data_task' AIRFLOW_CTX_EXECUTION_DATE='2024-11-24T22:24:42.151283+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-11-24T22:24:42.151283+00:00'
[2024-11-24T22:24:47.883+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-11-24T22:24:47.943+0000] {logging_mixin.py:190} INFO - Extracting Spending Data
[2024-11-24T22:25:21.123+0000] {logging_mixin.py:190} INFO - File saved to S3: s3://project-raw-data-files/usa_spending_data/spending_by_award_11_24_2024.csv
[2024-11-24T22:25:21.127+0000] {logging_mixin.py:190} INFO - Extracting Awards Data
[2024-11-24T22:25:21.138+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-18-DP-72-0002_8620 (Request 1/507)
[2024-11-24T22:25:24.335+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-18-DP-72-0001_8620 (Request 2/507)
[2024-11-24T22:25:26.682+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-18-DE-72-0001_8620 (Request 3/507)
[2024-11-24T22:25:29.196+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-17-DM-72-0001_8620 (Request 4/507)
[2024-11-24T22:25:31.728+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-19-DP-72-0001_8620 (Request 5/507)
