[2024-11-26T05:23:56.011+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-11-26T05:23:56.065+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL_usa_spending.extract_usa_spending_data_task manual__2024-11-26T05:23:53.853764+00:00 [queued]>
[2024-11-26T05:23:56.121+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL_usa_spending.extract_usa_spending_data_task manual__2024-11-26T05:23:53.853764+00:00 [queued]>
[2024-11-26T05:23:56.122+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-11-26T05:23:56.181+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): extract_usa_spending_data_task> on 2024-11-26 05:23:53.853764+00:00
[2024-11-26T05:23:56.198+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'ETL_usa_spending', 'extract_usa_spending_data_task', 'manual__2024-11-26T05:23:53.853764+00:00', '--job-id', '368', '--raw', '--subdir', 'DAGS_FOLDER/project_dag.py', '--cfg-path', '/tmp/tmp0x55uq5i']
[2024-11-26T05:23:56.209+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=12521) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-11-26T05:23:56.207+0000] {standard_task_runner.py:105} INFO - Job 368: Subtask extract_usa_spending_data_task
[2024-11-26T05:23:56.212+0000] {standard_task_runner.py:72} INFO - Started process 12523 to run task
[2024-11-26T05:23:56.314+0000] {task_command.py:467} INFO - Running <TaskInstance: ETL_usa_spending.extract_usa_spending_data_task manual__2024-11-26T05:23:53.853764+00:00 [running]> on host 6a246d8d590f
[2024-11-26T05:23:56.736+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ETL_usa_spending' AIRFLOW_CTX_TASK_ID='extract_usa_spending_data_task' AIRFLOW_CTX_EXECUTION_DATE='2024-11-26T05:23:53.853764+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-11-26T05:23:53.853764+00:00'
[2024-11-26T05:23:56.737+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-11-26T05:23:56.755+0000] {logging_mixin.py:190} INFO - Extracting Spending Data
[2024-11-26T05:24:06.960+0000] {logging_mixin.py:190} INFO - File saved to S3: s3://project-raw-data-files/usa_spending_data/spending_by_award_11_26_2024.csv
[2024-11-26T05:24:06.963+0000] {logging_mixin.py:190} INFO - Extracting Awards Data
[2024-11-26T05:24:06.964+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-18-DP-72-0002_8620 (Request 1/507)
[2024-11-26T05:24:09.287+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-18-DP-72-0001_8620 (Request 2/507)
[2024-11-26T05:24:11.618+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-18-DE-72-0001_8620 (Request 3/507)
[2024-11-26T05:24:13.953+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-17-DM-72-0001_8620 (Request 4/507)
[2024-11-26T05:24:16.328+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-19-DP-72-0001_8620 (Request 5/507)
[2024-11-26T05:24:18.659+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-21-DZ-72-0001_8620 (Request 6/507)
