[2024-11-26T06:24:00.564+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-11-26T06:24:00.590+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL_usa_spending.extract_usa_spending_data_task manual__2024-11-26T06:23:58.227933+00:00 [queued]>
[2024-11-26T06:24:00.603+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL_usa_spending.extract_usa_spending_data_task manual__2024-11-26T06:23:58.227933+00:00 [queued]>
[2024-11-26T06:24:00.604+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-11-26T06:24:00.627+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): extract_usa_spending_data_task> on 2024-11-26 06:23:58.227933+00:00
[2024-11-26T06:24:00.642+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=13993) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-11-26T06:24:00.641+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'ETL_usa_spending', 'extract_usa_spending_data_task', 'manual__2024-11-26T06:23:58.227933+00:00', '--job-id', '384', '--raw', '--subdir', 'DAGS_FOLDER/project_dag.py', '--cfg-path', '/tmp/tmpire7r37n']
[2024-11-26T06:24:00.645+0000] {standard_task_runner.py:72} INFO - Started process 13995 to run task
[2024-11-26T06:24:00.645+0000] {standard_task_runner.py:105} INFO - Job 384: Subtask extract_usa_spending_data_task
[2024-11-26T06:24:00.734+0000] {task_command.py:467} INFO - Running <TaskInstance: ETL_usa_spending.extract_usa_spending_data_task manual__2024-11-26T06:23:58.227933+00:00 [running]> on host 6a246d8d590f
[2024-11-26T06:24:01.207+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ETL_usa_spending' AIRFLOW_CTX_TASK_ID='extract_usa_spending_data_task' AIRFLOW_CTX_EXECUTION_DATE='2024-11-26T06:23:58.227933+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-11-26T06:23:58.227933+00:00'
[2024-11-26T06:24:01.209+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-11-26T06:24:01.228+0000] {logging_mixin.py:190} INFO - Extracting Spending Data
[2024-11-26T06:24:06.530+0000] {logging_mixin.py:190} INFO - File saved to S3: s3://project-raw-data-files/usa_spending_data/spending_by_award_11_26_2024.csv
[2024-11-26T06:24:06.533+0000] {logging_mixin.py:190} INFO - Extracting Transactions Data
[2024-11-26T06:24:06.536+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-18-DP-72-0002_8620
[2024-11-26T06:24:06.866+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-18-DP-72-0001_8620
[2024-11-26T06:24:07.204+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-18-DE-72-0001_8620
[2024-11-26T06:24:07.568+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-17-DM-72-0001_8620
[2024-11-26T06:24:07.922+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-19-DP-72-0001_8620
[2024-11-26T06:24:08.318+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-21-DZ-72-0001_8620
[2024-11-26T06:24:08.667+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-10-DC-72-0001_8620
[2024-11-26T06:24:09.006+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-09-DC-72-0001_8620
[2024-11-26T06:24:09.358+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-08-DC-72-0001_8620
[2024-11-26T06:24:09.694+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-11-DC-72-0001_8620
[2024-11-26T06:24:10.084+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-19-DF-72-0001_8620
[2024-11-26T06:24:10.471+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-20-DW-72-0001_8620
[2024-11-26T06:24:10.900+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-08-DI-72-0001_8620
[2024-11-26T06:24:11.303+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-12-DC-72-0001_8620
[2024-11-26T06:24:11.649+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-13-DC-72-0001_8620
[2024-11-26T06:24:12.030+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-14-DC-72-0001_8620
[2024-11-26T06:24:12.366+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-18-DC-72-0001_8620
[2024-11-26T06:24:12.725+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-15-DC-72-0001_8620
[2024-11-26T06:24:13.091+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-20-DC-72-0001_8620
[2024-11-26T06:24:13.440+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-21-DC-72-0001_8620
[2024-11-26T06:24:13.792+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-19-DC-72-0001_8620
[2024-11-26T06:24:14.125+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-16-DC-72-0001_8620
[2024-11-26T06:24:14.576+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-17-DC-72-0001_8620
[2024-11-26T06:24:14.937+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-22-DC-72-0001_8620
[2024-11-26T06:24:16.334+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-23-DC-72-0001_8620
[2024-11-26T06:24:16.796+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-24-DC-72-0001_8620
[2024-11-26T06:24:17.251+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-08-DN-72-0001_8620
[2024-11-26T06:24:17.730+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-10-MC-72-0007_8620
[2024-11-26T06:24:18.471+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-09-MC-72-0007_8620
[2024-11-26T06:24:18.814+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-08-MC-72-0007_8620
[2024-11-26T06:24:19.186+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-11-MC-72-0007_8620
[2024-11-26T06:24:19.525+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-05-DJ-72-0001_8620
[2024-11-26T06:24:19.860+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-21-MC-72-0007_8620
[2024-11-26T06:24:20.261+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-20-MC-72-0007_8620
[2024-11-26T06:24:20.687+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-19-MC-72-0007_8620
[2024-11-26T06:24:21.050+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-24-MC-72-0007_8620
[2024-11-26T06:24:21.423+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-18-MC-72-0007_8620
[2024-11-26T06:24:21.784+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-23-MC-72-0007_8620
[2024-11-26T06:24:22.129+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-22-MC-72-0007_8620
[2024-11-26T06:24:22.456+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-20-MW-72-0007_8620
[2024-11-26T06:24:22.810+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-13-MC-72-0007_8620
[2024-11-26T06:24:23.157+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-14-MC-72-0007_8620
[2024-11-26T06:24:23.515+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-17-MC-72-0007_8620
[2024-11-26T06:24:23.858+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-15-MC-72-0007_8620
[2024-11-26T06:24:24.246+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-16-MC-72-0007_8620
[2024-11-26T06:24:24.631+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-12-MC-72-0007_8620
[2024-11-26T06:24:24.978+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-13-MC-72-0003_8620
[2024-11-26T06:24:25.328+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-10-MC-72-0003_8620
[2024-11-26T06:24:25.660+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-13-MC-72-0004_8620
[2024-11-26T06:24:26.059+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-09-MC-72-0003_8620
[2024-11-26T06:24:26.448+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-08-MC-72-0003_8620
[2024-11-26T06:24:26.788+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-10-MC-72-0004_8620
[2024-11-26T06:24:27.148+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-13-MC-72-0005_8620
[2024-11-26T06:24:27.551+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-11-MC-72-0003_8620
[2024-11-26T06:24:28.002+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-09-MC-72-0004_8620
[2024-11-26T06:24:28.422+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-08-MC-72-0004_8620
[2024-11-26T06:24:29.658+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-10-MC-72-0005_8620
[2024-11-26T06:24:30.062+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-11-MC-72-0004_8620
[2024-11-26T06:24:31.659+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-13-MC-72-0001_8620
[2024-11-26T06:24:32.058+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-09-MC-72-0005_8620
[2024-11-26T06:24:33.546+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-08-MC-72-0005_8620
[2024-11-26T06:24:34.097+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-10-MC-72-0001_8620
[2024-11-26T06:24:34.496+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-11-MC-72-0005_8620
[2024-11-26T06:24:34.844+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-09-MC-72-0001_8620
[2024-11-26T06:24:35.194+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-08-MC-72-0001_8620
[2024-11-26T06:24:35.538+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-13-MC-72-0002_8620
[2024-11-26T06:24:35.908+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-10-MC-72-0002_8620
[2024-11-26T06:24:36.264+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-13-MC-72-0009_8620
[2024-11-26T06:24:36.605+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-12-MC-72-0003_8620
[2024-11-26T06:24:36.970+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-11-MC-72-0001_8620
[2024-11-26T06:24:37.326+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-10-MC-72-0009_8620
[2024-11-26T06:24:37.669+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-09-MC-72-0002_8620
[2024-11-26T06:24:38.016+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-08-MC-72-0002_8620
[2024-11-26T06:24:38.336+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-14-MC-72-0003_8620
[2024-11-26T06:24:38.696+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-09-MC-72-0009_8620
[2024-11-26T06:24:39.128+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-13-MC-72-0008_8620
[2024-11-26T06:24:39.474+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-08-MC-72-0009_8620
[2024-11-26T06:24:39.809+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-12-MC-72-0004_8620
[2024-11-26T06:24:40.211+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-15-MC-72-0003_8620
[2024-11-26T06:24:40.690+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-11-MC-72-0002_8620
[2024-11-26T06:24:41.044+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-14-MC-72-0004_8620
[2024-11-26T06:24:41.379+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-18-MC-72-0003_8620
[2024-11-26T06:24:41.717+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-20-MC-72-0003_8620
[2024-11-26T06:24:42.118+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-16-MC-72-0003_8620
[2024-11-26T06:24:42.492+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-21-MC-72-0003_8620
[2024-11-26T06:24:43.078+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-12-MC-72-0005_8620
[2024-11-26T06:24:43.457+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-20-MW-72-0003_8620
[2024-11-26T06:24:43.808+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-19-MC-72-0003_8620
[2024-11-26T06:24:44.148+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-20-MW-72-0004_8620
[2024-11-26T06:24:44.720+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-24-MC-72-0003_8620
[2024-11-26T06:24:45.207+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-15-MC-72-0004_8620
